attempt_id,test_id,total_time_seconds,score_correct,score_total,n_items,rapid_share,n_mc_items,median_mc_item_time,mc_revision_share,score,pace_seconds_per_item,label
0002a8bc-62f9-457a-8c18-1ee43a77ef78,science_grade5_2015,300,22,36,36,0.05555555555555555,34,6.0,0.029411764705882353,0.6111111111111112,8.333333333333334,clean
0004c816-1f7f-4633-bcee-e3e3f0168439,science_earth_sci_2015,255,29,45,45,0.4222222222222222,39,3.0,0.0,0.6444444444444445,5.666666666666667,clean
000a2e75-be83-4b08-b275-1572545a14dd,math_grade5_practice_2023,3708,20,24,24,0.0,24,67.5,0.041666666666666664,0.8333333333333334,154.5,clean
00125610-9d01-45f2-8058-572af1cfc642,math_geometry_practice_2023,513,22,23,23,0.0,23,5.0,0.0,0.9565217391304348,22.304347826086957,clean
0014ac43-eee0-4a34-984d-664927ad61c2,math_grade3_practice_2023,106,17,17,17,0.0,17,4.0,0.0,1.0,6.235294117647059,clean
0022c38d-60b6-41ec-b694-0237513bb300,math_grade3_practice_2023,543,12,17,17,0.0,17,20.0,0.11764705882352941,0.7058823529411765,31.941176470588236,clean
00261b0c-f2fb-44b9-82b4-c8b923c09cea,reading_endofcourse_practice_2024,665,23,29,29,0.0,29,16.0,0.10344827586206896,0.7931034482758621,22.93103448275862,clean
002683e3-be46-4a69-b4d2-b8ca039d7e35,science_grade5_2015,300,32,36,36,0.1111111111111111,34,5.0,0.029411764705882353,0.8888888888888888,8.333333333333334,clean
0029d2a1-f2e9-4d42-9548-65258909a8d4,math_grade5_2014,1546,40,50,50,0.06,43,11.0,0.0,0.8,30.92,clean
002aba4d-b3ef-49ce-971c-811800365b66,math_grade3_2014,2517,31,40,40,0.0,35,37.0,0.02857142857142857,0.775,62.925,clean
00370315-d70e-40ed-89cd-b1063a1f8066,science_earth_sci_2015,360,33,45,45,0.1111111111111111,39,4.0,0.07692307692307693,0.7333333333333333,8.0,clean
0037ae18-324d-4e1b-88e0-f198498646f6,reading_grade7_practice_2024,565,16,36,36,0.6666666666666666,36,3.0,0.027777777777777776,0.4444444444444444,15.694444444444445,clean
0043d9f6-3399-439a-b210-7fda3d7ec082,math_grade3_practice_2023,1026,15,17,17,0.0,17,37.0,0.0,0.8823529411764706,60.35294117647059,clean
00463b22-77d5-4cad-b97d-5bf83e047afc,reading_grade5_practice_2024,936,33,38,38,0.02631578947368421,38,6.5,0.10526315789473684,0.868421052631579,24.63157894736842,clean
00540405-65dd-4aa0-8518-44e664d8b8a8,math_grade3_practice_2023,74,17,17,17,0.0,17,3.0,0.0,1.0,4.352941176470588,clean
005c8918-d3f4-4fca-9003-d74d8f084d85,reading_endofcourse_practice_2024,10962,23,29,29,0.0,29,18.0,0.034482758620689655,0.7931034482758621,378.0,clean
00623ee9-15ae-4a6f-8cbc-ceb9ea765d13,science_biology_2015,1673,36,46,46,0.10869565217391304,40,20.0,0.025,0.782608695652174,36.369565217391305,clean
006f1417-ff1e-44b0-9a3f-68396b88cb15,reading_endofcourse_practice_2024,1264,15,23,23,0.0,23,32.0,0.13043478260869565,0.6521739130434783,54.95652173913044,clean
